label,variable,data
Mauritania,"Proportion of informal employment, by sector and sex - 13th ICLS",89.35
Mauritius,"Proportion of informal employment, by sector and sex - 13th ICLS",30.14
Mayotte,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Mexico,"Proportion of informal employment, by sector and sex - 13th ICLS",57.07
Micronesia (Federated States of),"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Monaco,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Mongolia,"Proportion of informal employment, by sector and sex - 13th ICLS",43.19
Montenegro,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Montserrat,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Morocco,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Mozambique,"Proportion of informal employment, by sector and sex - 13th ICLS",95.67
Myanmar,"Proportion of informal employment, by sector and sex - 13th ICLS",80.96
Namibia,"Proportion of informal employment, by sector and sex - 13th ICLS",55.76
Nauru,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Nepal,"Proportion of informal employment, by sector and sex - 13th ICLS",81.56
Netherlands (Kingdom of the),"Proportion of informal employment, by sector and sex - 13th ICLS",11.83
New Caledonia,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
New Zealand,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Nicaragua,"Proportion of informal employment, by sector and sex - 13th ICLS",81.79
Niger,"Proportion of informal employment, by sector and sex - 13th ICLS",73.57
Nigeria,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Niue,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Norfolk Island,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
North Macedonia,"Proportion of informal employment, by sector and sex - 13th ICLS",9.88
Northern Mariana Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Norway,"Proportion of informal employment, by sector and sex - 13th ICLS",4.88
Oman,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Pakistan,"Proportion of informal employment, by sector and sex - 13th ICLS",84.27
Palau,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Panama,"Proportion of informal employment, by sector and sex - 13th ICLS",55.67
Papua New Guinea,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Paraguay,"Proportion of informal employment, by sector and sex - 13th ICLS",69.25
Peru,"Proportion of informal employment, by sector and sex - 13th ICLS",68.4
Philippines,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Pitcairn,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Poland,"Proportion of informal employment, by sector and sex - 13th ICLS",15.85
Portugal,"Proportion of informal employment, by sector and sex - 13th ICLS",9.69
Puerto Rico,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Qatar,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Republic of Korea,"Proportion of informal employment, by sector and sex - 13th ICLS",26.62
Republic of Moldova,"Proportion of informal employment, by sector and sex - 13th ICLS",57.21
Romania,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Russian Federation,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Rwanda,"Proportion of informal employment, by sector and sex - 13th ICLS",87.14
Réunion,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Saint Barthélemy,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Saint Helena,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Saint Kitts and Nevis,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Saint Lucia,"Proportion of informal employment, by sector and sex - 13th ICLS",32.48
Saint Martin (French Part),"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Saint Pierre and Miquelon,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Saint Vincent and the Grenadines,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Samoa,"Proportion of informal employment, by sector and sex - 13th ICLS",52.41
San Marino,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Sao Tome and Principe,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Saudi Arabia,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Senegal,"Proportion of informal employment, by sector and sex - 13th ICLS",90.23
Serbia,"Proportion of informal employment, by sector and sex - 13th ICLS",18.35
Seychelles,"Proportion of informal employment, by sector and sex - 13th ICLS",16.97
Sierra Leone,"Proportion of informal employment, by sector and sex - 13th ICLS",93.11
Singapore,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Sint Maarten (Dutch part),"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Slovakia,"Proportion of informal employment, by sector and sex - 13th ICLS",16.32
Slovenia,"Proportion of informal employment, by sector and sex - 13th ICLS",7.74
Solomon Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Somalia,"Proportion of informal employment, by sector and sex - 13th ICLS",82.49
South Africa,"Proportion of informal employment, by sector and sex - 13th ICLS",41.62
South Georgia and the South Sandwich Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
South Sudan,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Spain,"Proportion of informal employment, by sector and sex - 13th ICLS",6.15
Sri Lanka,"Proportion of informal employment, by sector and sex - 13th ICLS",67.16
State of Palestine,"Proportion of informal employment, by sector and sex - 13th ICLS",50.99
Sudan,"Proportion of informal employment, by sector and sex - 13th ICLS",86.97
Suriname,"Proportion of informal employment, by sector and sex - 13th ICLS",52.11
Svalbard and Jan Mayen Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Sweden,"Proportion of informal employment, by sector and sex - 13th ICLS",3.16
Switzerland,"Proportion of informal employment, by sector and sex - 13th ICLS",1.86
Syrian Arab Republic,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Taiwan,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Tajikistan,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Thailand,"Proportion of informal employment, by sector and sex - 13th ICLS",64.98
Timor-Leste,"Proportion of informal employment, by sector and sex - 13th ICLS",80.59
Togo,"Proportion of informal employment, by sector and sex - 13th ICLS",90.09
Tokelau,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Tonga,"Proportion of informal employment, by sector and sex - 13th ICLS",97.07
Trinidad and Tobago,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Tunisia,"Proportion of informal employment, by sector and sex - 13th ICLS",61.25
Turkmenistan,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Turks and Caicos Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Tuvalu,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Türkiye,"Proportion of informal employment, by sector and sex - 13th ICLS",29.89
Uganda,"Proportion of informal employment, by sector and sex - 13th ICLS",91.11
Ukraine,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
United Arab Emirates,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
United Kingdom of Great Britain and Northern Ireland,"Proportion of informal employment, by sector and sex - 13th ICLS",24.52
United Republic of Tanzania,"Proportion of informal employment, by sector and sex - 13th ICLS",93.32
United States Virgin Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
United States of America,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Uruguay,"Proportion of informal employment, by sector and sex - 13th ICLS",21.88
Uzbekistan,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Vanuatu,"Proportion of informal employment, by sector and sex - 13th ICLS",72.4
Venezuela (Bolivarian Republic of),"Proportion of informal employment, by sector and sex - 13th ICLS",58.34
Viet Nam,"Proportion of informal employment, by sector and sex - 13th ICLS",70.39
Western Sahara,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Yemen,"Proportion of informal employment, by sector and sex - 13th ICLS",77.41
Zambia,"Proportion of informal employment, by sector and sex - 13th ICLS",85.98
Zimbabwe,"Proportion of informal employment, by sector and sex - 13th ICLS",88.24
Åland Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
