"Country or Area","Year","Item","Value"
"Serbia","2022","Gross Domestic Product (GDP)","8802.13210935102"
"Seychelles","2022","Gross Domestic Product (GDP)","18622.8654709731"
"Sierra Leone","2022","Gross Domestic Product (GDP)","404.54180173269"
"Singapore","2022","Gross Domestic Product (GDP)","78114.6215473286"
"Sint Maarten (Dutch part)","2022","Gross Domestic Product (GDP)","35607.4905230277"
"Slovakia","2022","Gross Domestic Product (GDP)","20431.6154597744"
"Slovenia","2022","Gross Domestic Product (GDP)","28295.4225083767"
"Solomon Islands","2022","Gross Domestic Product (GDP)","2204.34503095617"
"Somalia","2022","Gross Domestic Product (GDP)","592.129193725181"
"South Africa","2022","Gross Domestic Product (GDP)","6766.48105385561"
"South Sudan","2022","Gross Domestic Product (GDP)","422.980039831957"
"Spain","2022","Gross Domestic Product (GDP)","29771.1359832843"
"Sri Lanka","2022","Gross Domestic Product (GDP)","3489.67637933964"
"State of Palestine","2022","Gross Domestic Product (GDP)","3640.31198048332"
"Sudan","2022","Gross Domestic Product (GDP)","783.574674874767"
"Suriname","2022","Gross Domestic Product (GDP)","5858.8247184621"
"Sweden","2022","Gross Domestic Product (GDP)","56040.302283786"
"Switzerland","2022","Gross Domestic Product (GDP)","93636.4249214974"
"Syrian Arab Republic","2022","Gross Domestic Product (GDP)","840.478437864607"
"Tajikistan","2022","Gross Domestic Product (GDP)","1054.18912836437"
"Thailand","2022","Gross Domestic Product (GDP)","6908.80211929543"
"Timor-Leste","2022","Gross Domestic Product (GDP)","2389.29588845415"
"Togo","2022","Gross Domestic Product (GDP)","913.929411318233"
"Tonga","2022","Gross Domestic Product (GDP)","4570.62587562735"
"Trinidad and Tobago","2022","Gross Domestic Product (GDP)","19629.3811732239"
"Tunisia","2022","Gross Domestic Product (GDP)","3737.51789474176"
"Türkiye","2022","Gross Domestic Product (GDP)","10629.3088915974"
"Turkmenistan","2022","Gross Domestic Product (GDP)","10420.1331825405"
"Turks and Caicos Islands","2022","Gross Domestic Product (GDP)","24917.595803339"
"Tuvalu","2022","Gross Domestic Product (GDP)","5219.25940900284"
"Uganda","2022","Gross Domestic Product (GDP)","1021.03515943606"
"Ukraine","2022","Gross Domestic Product (GDP)","4042.71307199155"
"United Arab Emirates","2022","Gross Domestic Product (GDP)","53707.9800809186"
"United Kingdom of Great Britain and Northern Ireland","2022","Gross Domestic Product (GDP)","45757.9826528467"
"United Republic of Tanzania: Mainland","2022","Gross Domestic Product (GDP)","1153.77089695317"
"United Republic of Tanzania: Zanzibar","2022","Gross Domestic Product (GDP)","1339.31573866902"
"United States","2022","Gross Domestic Product (GDP)","76100.7150149347"
"Uruguay","2022","Gross Domestic Product (GDP)","20793.2829616034"
"Uzbekistan","2022","Gross Domestic Product (GDP)","2321.60863920493"
"Vanuatu","2022","Gross Domestic Product (GDP)","3015.40919134365"
"Venezuela (Bolivarian Republic of)","2022","Gross Domestic Product (GDP)","4569.11054297601"
"Viet Nam","2022","Gross Domestic Product (GDP)","4163.5143004093"
"Yemen","2022","Gross Domestic Product (GDP)","326.651586035899"
"Zambia","2022","Gross Domestic Product (GDP)","1455.5468757266"
"Zimbabwe","2022","Gross Domestic Product (GDP)","1618.73306993514"

