label,variable,data
Burundi,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",11.17
Cabo Verde,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",27.99
Cambodia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",11.38
Cameroon,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",17.01
Canada,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",11.83
Cayman Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Central African Republic,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Chad,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",37.05
Chile,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",16.27
China,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
"China, Hong Kong Special Administrative Region","Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",7.41
"China, Macao Special Administrative Region","Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",4.96
Christmas Island,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Cocos (Keeling) Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Colombia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",27.26
Comoros,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",22.72
Congo,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",22.27
Cook Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",12.49
Costa Rica,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",18.99
Croatia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",12.69
Cuba,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Curaçao,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",17.46
Cyprus,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",13.77
Czechia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",6.61
Côte d’Ivoire,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",21.92
Democratic People's Republic of Korea,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Democratic Republic of the Congo,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",31.37
Denmark,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",7.08
Djibouti,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",22.82
Dominica,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Dominican Republic,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",27.33
Ecuador,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",18.48
Egypt,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",28.74
El Salvador,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",26.18
Equatorial Guinea,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Eritrea,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Estonia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",10.92
Eswatini,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",35.5
Ethiopia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",17.53
Falkland Islands (Malvinas),"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",3.25
Faroe Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Fiji,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",20.09
Finland,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",7.65
France,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",11.46
French Guiana,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
French Polynesia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
French Southern Territories,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Gabon,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Gambia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",29.44
Georgia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",24.91
Germany,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",7.52
Ghana,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",23
Gibraltar,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Greece,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",12.05
Greenland,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Grenada,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Guadeloupe,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Guam,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Guatemala,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",28.19
Guernsey,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Guinea,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",34.3
Guinea-Bissau,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",24.3
Guyana,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",46.39
Haiti,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",21.09
Heard Island and McDonald Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Holy See,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Honduras,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",26.8
Hungary,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",10.61
Iceland,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",4.88
India,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",30.7
Indonesia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",22.34
Iran (Islamic Republic of),"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",29.4
Iraq,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",36.93
Ireland,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",7.73
Isle of Man,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Israel,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",16.76
Italy,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",19.76
Jamaica,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",29.66
Japan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",3.14
Jersey,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Jordan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",32.85
Kazakhstan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",9.49
Kenya,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",19.67
Kiribati,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",47.58
Kuwait,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Kyrgyzstan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",15.89
Lao People's Democratic Republic,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",25.8
Latvia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",8.63
Lebanon,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",23.52
Lesotho,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",35.15
Liberia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",40.78
Libya,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Liechtenstein,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Lithuania,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",11.32
Luxembourg,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",8.67
Madagascar,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",3.79
Malawi,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",19.41
Malaysia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",13.63
Maldives,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",26.27
Mali,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",30.86
Malta,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",13.5
Marshall Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",42.94
Martinique,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Mauritania,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",44.08
Mauritius,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",32.42
Mayotte,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Mexico,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",18.35
Micronesia (Federated States of),"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",28.67
Monaco,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Mongolia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",17.18
Montenegro,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",21.09
Montserrat,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Morocco,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Mozambique,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Myanmar,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",15.02
Namibia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",31.88
Nauru,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",36.4
Nepal,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",34.76
Netherlands (Kingdom of the),"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",5.11
New Caledonia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",33.02
New Zealand,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",11.88
Nicaragua,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",24.49
Niger,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",68.66
Nigeria,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",36.65
Niue,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Norfolk Island,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
North Macedonia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",18.36
Northern Mariana Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Norway,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",6.32
Oman,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Pakistan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",34.56
Palau,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",18.04
Panama,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",19.3
Papua New Guinea,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",35.5
Paraguay,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",18.59
Peru,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",22.7
Philippines,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",17.47
Pitcairn,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Poland,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",11.2
Portugal,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",7.61
Puerto Rico,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Qatar,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Republic of Korea,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",20.84
Republic of Moldova,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",13.55
Romania,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",18.02
Russian Federation,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",12.41
Rwanda,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",29.05
Réunion,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",28.59
Saint Barthélemy,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Saint Helena,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Saint Kitts and Nevis,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Saint Lucia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",39.03
Saint Martin (French Part),"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Saint Pierre and Miquelon,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Saint Vincent and the Grenadines,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Samoa,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",28.74
San Marino,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Sao Tome and Principe,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Saudi Arabia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",19.22
Senegal,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",33.9
Serbia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",16.05
Seychelles,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",26.01
Sierra Leone,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",33.17
Singapore,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",6.2
Sint Maarten (Dutch part),"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Slovakia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",11.08
Slovenia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",6.6
Solomon Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",7.04
Somalia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",43.73
South Africa,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",30.6
South Georgia and the South Sandwich Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
South Sudan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Spain,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",10.97
Sri Lanka,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",21.51
State of Palestine,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",31.18
Sudan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",33.09
Suriname,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",18.19
Svalbard and Jan Mayen Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Sweden,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",5.07
Switzerland,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",9.89
Syrian Arab Republic,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Taiwan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Tajikistan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",42.2
Thailand,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",14.75
Timor-Leste,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",31.17
Togo,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",25.08
Tokelau,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Tonga,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",18.68
Trinidad and Tobago,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",15.46
Tunisia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",31.5
Turkmenistan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Turks and Caicos Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Tuvalu,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",34.26
Türkiye,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",24.75
Uganda,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",31.14
Ukraine,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",16.47
United Arab Emirates,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",10.72
United Kingdom of Great Britain and Northern Ireland,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",10.52
United Republic of Tanzania,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",14.35
United States Virgin Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
United States of America,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",11.24
Uruguay,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",17.58
Uzbekistan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Vanuatu,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",34.5
Venezuela (Bolivarian Republic of),"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",22.85
Viet Nam,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",14.93
Western Sahara,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Yemen,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",44.77
Zambia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",31.36
Zimbabwe,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",29.37
Åland Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
