label,variable,data
Brunei Darussalam,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.58
Bulgaria,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.89
Burkina Faso,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.69
Burundi,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.67
Cabo Verde,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.32
Cambodia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,5.49
Cameroon,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.83
Canada,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.07
Cayman Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Central African Republic,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.61
Chad,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.7
Chile,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.68
China,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,9.11
"China, Hong Kong Special Administrative Region",Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
"China, Macao Special Administrative Region",Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Christmas Island,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Cocos (Keeling) Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Colombia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,5.2
Comoros,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.35
Congo,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.5
Cook Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.83
Costa Rica,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.91
Croatia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.12
Cuba,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.35
Curaçao,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Cyprus,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Czechia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.18
Côte d’Ivoire,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.72
Democratic People's Republic of Korea,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Democratic Republic of the Congo,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.16
Denmark,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.19
Djibouti,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,5.79
Dominica,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.17
Dominican Republic,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.45
Ecuador,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,5.32
Egypt,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,6.08
El Salvador,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,5.3
Equatorial Guinea,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,4.62
Eritrea,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.11
Estonia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.15
Eswatini,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.75
Ethiopia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.01
Falkland Islands (Malvinas),Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Faroe Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Fiji,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,5.73
Finland,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
France,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.5
French Guiana,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
French Polynesia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
French Southern Territories,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Gabon,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.15
Gambia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.64
Georgia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.15
Germany,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.38
Ghana,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.81
Gibraltar,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Greece,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.85
Greenland,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Grenada,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.54
Guadeloupe,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Guam,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Guatemala,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,6.15
Guernsey,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Guinea,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.67
Guinea-Bissau,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.01
Guyana,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.53
Haiti,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.62
Heard Island and McDonald Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Holy See,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Honduras,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.91
Hungary,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.41
Iceland,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
India,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.32
Indonesia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.51
Iran (Islamic Republic of),Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,10
Iraq,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,5.24
Ireland,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Isle of Man,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Israel,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Italy,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Jamaica,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.23
Japan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.11
Jersey,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Jordan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.49
Kazakhstan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.89
Kenya,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,4
Kiribati,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.23
Kuwait,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.71
Kyrgyzstan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.51
Lao People's Democratic Republic,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,6.02
Latvia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Lebanon,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,4.17
Lesotho,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.23
Liberia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.92
Libya,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,6.49
Liechtenstein,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Lithuania,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Luxembourg,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.19
Madagascar,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.65
Malawi,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.37
Malaysia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,6.95
Maldives,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,4.21
Mali,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.88
Malta,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.48
Marshall Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.55
Martinique,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Mauritania,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.63
Mauritius,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.62
Mayotte,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Mexico,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.66
Micronesia (Federated States of),Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Monaco,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Mongolia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.15
Montenegro,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.23
Montserrat,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Morocco,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.44
Mozambique,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2
Myanmar,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,5.11
Namibia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.53
Nauru,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Nepal,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.78
Netherlands (Kingdom of the),Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.38
New Caledonia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
New Zealand,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.1
Nicaragua,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.68
Niger,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.3
Nigeria,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.08
Niue,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Norfolk Island,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
North Macedonia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.52
Northern Mariana Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Norway,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Oman,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.97
Pakistan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,4.46
Palau,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.39
Panama,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,4.5
Papua New Guinea,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.1
Paraguay,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.22
Peru,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,4.2
Philippines,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,4.21
Pitcairn,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Poland,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.1
Portugal,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.51
Puerto Rico,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Qatar,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,8.56
Republic of Korea,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,4.55
Republic of Moldova,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.89
Romania,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.29
Russian Federation,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.14
Rwanda,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.28
Réunion,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Saint Barthélemy,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Saint Helena,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Saint Kitts and Nevis,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.68
Saint Lucia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.39
Saint Martin (French Part),Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Saint Pierre and Miquelon,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Saint Vincent and the Grenadines,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.03
Samoa,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.52
San Marino,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Sao Tome and Principe,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.16
Saudi Arabia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,6.64
Senegal,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.65
Serbia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.41
Seychelles,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.07
Sierra Leone,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.75
Singapore,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.87
Sint Maarten (Dutch part),Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Slovakia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Slovenia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.36
Solomon Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.73
Somalia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.98
South Africa,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.98
South Georgia and the South Sandwich Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
South Sudan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.03
Spain,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.71
Sri Lanka,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.56
State of Palestine,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Sudan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,6.45
Suriname,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.17
Svalbard and Jan Mayen Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Sweden,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Switzerland,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.18
Syrian Arab Republic,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,6.12
Taiwan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Tajikistan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.35
Thailand,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,6.7
Timor-Leste,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.34
Togo,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.54
Tokelau,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Tonga,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.49
Trinidad and Tobago,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.84
Tunisia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.65
Turkmenistan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.43
Turks and Caicos Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Tuvalu,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.24
Türkiye,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.66
Uganda,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.26
Ukraine,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.94
United Arab Emirates,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,10
United Kingdom of Great Britain and Northern Ireland,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.06
United Republic of Tanzania,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.43
United States Virgin Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
United States of America,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.08
Uruguay,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.69
Uzbekistan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.09
Vanuatu,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.83
Venezuela (Bolivarian Republic of),Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,7.67
Viet Nam,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,8.23
Western Sahara,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Yemen,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.08
Zambia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.21
Zimbabwe,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,6
Åland Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
